time,open,high,low,close,tick_volume
2015-01-02 09:00:00,1.20538,1.20576,1.20344,1.20553,3783
2015-01-02 10:00:00,1.20554,1.2069,1.20443,1.20467,4626
2015-01-02 11:00:00,1.20467,1.206,1.20385,1.20573,4787
2015-01-02 12:00:00,1.20574,1.20574,1.20418,1.20503,3276
2015-01-02 13:00:00,1.20503,1.20577,1.20443,1.20535,3441
2015-01-02 14:00:00,1.20531,1.20542,1.20347,1.20377,3323
2015-01-02 15:00:00,1.20377,1.20437,1.2025,1.20302,3897
2015-01-02 16:00:00,1.20301,1.2033,1.20082,1.20144,4494
2015-01-02 17:00:00,1.20146,1.20315,1.20114,1.20307,6169
2015-01-02 18:00:00,1.20309,1.20312,1.20069,1.20131,4600
2015-01-02 19:00:00,1.20133,1.20154,1.20035,1.20092,3005
2015-01-02 20:00:00,1.20093,1.2015,1.20074,1.20115,2364
2015-01-02 21:00:00,1.20114,1.20114,1.2004,1.20052,1839
2015-01-02 22:00:00,1.20051,1.20082,1.20011,1.20029,2127
2015-01-02 23:00:00,1.2003,1.20055,1.19997,1.20014,1351
2015-01-05 00:00:00,1.19454,1.19534,1.18642,1.19449,5392
2015-01-05 01:00:00,1.19451,1.19488,1.193,1.19463,3933
2015-01-05 02:00:00,1.19465,1.19755,1.19465,1.19624,4616
2015-01-05 03:00:00,1.19623,1.19726,1.19508,1.19541,3743
2015-01-05 04:00:00,1.19543,1.19647,1.19542,1.19559,2539
2015-01-05 05:00:00,1.19556,1.1956,1.19434,1.19434,2545
2015-01-05 06:00:00,1.19435,1.19446,1.1935,1.19405,2361
2015-01-05 07:00:00,1.19405,1.19441,1.19253,1.19343,2809
2015-01-05 08:00:00,1.19343,1.19469,1.19303,1.19468,3185
2015-01-05 09:00:00,1.19469,1.19601,1.19398,1.19561,4576
2015-01-05 10:00:00,1.19558,1.19757,1.1951,1.19547,5755
2015-01-05 11:00:00,1.19548,1.19601,1.19427,1.19539,4993
2015-01-05 12:00:00,1.19538,1.19566,1.19137,1.19198,5346
2015-01-05 13:00:00,1.19199,1.19245,1.18996,1.19047,4742
2015-01-05 14:00:00,1.19047,1.19189,1.18866,1.18991,5280
2015-01-05 15:00:00,1.18991,1.19279,1.18923,1.19123,5713
2015-01-05 16:00:00,1.19125,1.1935,1.19081,1.19334,5905
2015-01-05 17:00:00,1.19334,1.1941,1.19165,1.19364,5749
2015-01-05 18:00:00,1.19361,1.1939,1.19148,1.19172,4271
2015-01-05 19:00:00,1.19173,1.19282,1.19118,1.1923,3239
2015-01-05 20:00:00,1.19228,1.1934,1.19142,1.19337,3032
2015-01-05 21:00:00,1.19338,1.19396,1.19328,1.19382,1840
2015-01-05 22:00:00,1.19382,1.19489,1.19361,1.19362,2163
2015-01-05 23:00:00,1.19361,1.19385,1.19315,1.19317,1414
2015-01-06 00:00:00,1.19318,1.19353,1.19263,1.19322,1914
2015-01-06 01:00:00,1.19322,1.194,1.19308,1.19368,1568
2015-01-06 02:00:00,1.19369,1.19428,1.19335,1.19424,2084
2015-01-06 03:00:00,1.19425,1.19457,1.19356,1.19402,2098
2015-01-06 04:00:00,1.19403,1.19542,1.19403,1.19454,2235
2015-01-06 05:00:00,1.19455,1.1949,1.19399,1.19434,1726
2015-01-06 06:00:00,1.19436,1.19501,1.1942,1.19482,1742
2015-01-06 07:00:00,1.19482,1.19577,1.19464,1.19566,2793
2015-01-06 08:00:00,1.19567,1.19682,1.19524,1.19596,3129
2015-01-06 09:00:00,1.19595,1.19617,1.19408,1.19415,3968
2015-01-06 10:00:00,1.19416,1.19518,1.19215,1.19441,5340
2015-01-06 11:00:00,1.19442,1.19454,1.19045,1.19072,5669
2015-01-06 12:00:00,1.19073,1.19138,1.1895,1.18976,4803
2015-01-06 13:00:00,1.18975,1.19188,1.18872,1.18905,5068
2015-01-06 14:00:00,1.18906,1.19087,1.18836,1.19065,4821
2015-01-06 15:00:00,1.19064,1.19148,1.18949,1.19068,5574
2015-01-06 16:00:00,1.19069,1.19084,1.18869,1.19036,5267
2015-01-06 17:00:00,1.19041,1.1932,1.19041,1.19186,6729
2015-01-06 18:00:00,1.19186,1.19397,1.19155,1.19365,6064
2015-01-06 19:00:00,1.1936,1.19577,1.19205,1.19215,5991
2015-01-06 20:00:00,1.19216,1.19331,1.19216,1.19327,4607
2015-01-06 21:00:00,1.19326,1.19357,1.19113,1.19122,2783
2015-01-06 22:00:00,1.19122,1.19142,1.18883,1.18979,3879
2015-01-06 23:00:00,1.18978,1.18987,1.18869,1.18887,1845
2015-01-07 00:00:00,1.18889,1.18895,1.18466,1.18724,3711
2015-01-07 01:00:00,1.18724,1.18783,1.18689,1.18717,2146
2015-01-07 02:00:00,1.18717,1.18804,1.18627,1.18689,2567
2015-01-07 03:00:00,1.18697,1.18799,1.18674,1.18765,2346
2015-01-07 04:00:00,1.18764,1.18786,1.18686,1.18695,1977
2015-01-07 05:00:00,1.18695,1.18773,1.1866,1.18755,2168
2015-01-07 06:00:00,1.18754,1.18773,1.18707,1.18749,1853
2015-01-07 07:00:00,1.18748,1.18797,1.18734,1.18777,2208
2015-01-07 08:00:00,1.18777,1.18793,1.18541,1.18659,3505
2015-01-07 09:00:00,1.18659,1.18887,1.18623,1.18867,5140
2015-01-07 10:00:00,1.18867,1.18956,1.18594,1.18676,5766
2015-01-07 11:00:00,1.18678,1.18787,1.18513,1.1853,5409
2015-01-07 12:00:00,1.18529,1.18755,1.1841,1.18496,6912
2015-01-07 13:00:00,1.18496,1.18541,1.18184,1.182,5834
2015-01-07 14:00:00,1.182,1.18446,1.18192,1.18357,5175
2015-01-07 15:00:00,1.18356,1.18384,1.18184,1.18295,5988
2015-01-07 16:00:00,1.18294,1.18302,1.18078,1.18186,6045
2015-01-07 17:00:00,1.18187,1.18305,1.18014,1.18017,5699
2015-01-07 18:00:00,1.18018,1.18271,1.18017,1.18193,5518
2015-01-07 19:00:00,1.18197,1.18345,1.18169,1.18287,3622
2015-01-07 20:00:00,1.18287,1.18364,1.18253,1.18338,3375
2015-01-07 21:00:00,1.18339,1.1858,1.1808,1.18496,6282
2015-01-07 22:00:00,1.18493,1.18497,1.18306,1.18326,3044
2015-01-07 23:00:00,1.18325,1.18407,1.18325,1.18386,1801
2015-01-08 00:00:00,1.18386,1.18409,1.18327,1.1833,1610
2015-01-08 01:00:00,1.18329,1.18364,1.18306,1.18329,1614
2015-01-08 02:00:00,1.18329,1.18467,1.18315,1.18374,2470
2015-01-08 03:00:00,1.18377,1.184,1.18249,1.1825,2385
2015-01-08 04:00:00,1.18251,1.18266,1.18182,1.18213,1978
2015-01-08 05:00:00,1.18213,1.18306,1.18169,1.18263,2201
2015-01-08 06:00:00,1.18263,1.18285,1.18199,1.1822,1583
2015-01-08 07:00:00,1.1822,1.1826,1.18164,1.18206,2292
2015-01-08 08:00:00,1.18205,1.18235,1.18173,1.18202,2419
2015-01-08 09:00:00,1.18204,1.18208,1.18031,1.18198,4590
2015-01-08 10:00:00,1.18197,1.18221,1.17912,1.17936,5049
2015-01-08 11:00:00,1.17935,1.18072,1.17797,1.17809,5230
2015-01-08 12:00:00,1.17808,1.17856,1.17619,1.17683,5404
2015-01-08 13:00:00,1.17684,1.17743,1.1763,1.17727,4014
2015-01-08 14:00:00,1.17725,1.17784,1.17536,1.17753,5081
